PLZ,Date,Population,NewConfCases_7days
8001,2020-07-09,5473,0-3
8002,2020-07-09,9620,0-3
8003,2020-07-09,20655,0-3
8004,2020-07-09,27183,0-3
8005,2020-07-09,15505,0-3
8006,2020-07-09,18387,0-3
8008,2020-07-09,16571,0-3
8032,2020-07-09,18170,0-3
8037,2020-07-09,16044,0-3
8038,2020-07-09,17299,0-3
8041,2020-07-09,7620,0-3
8044,2020-07-09,10947,0-3
8045,2020-07-09,11222,0-3
8046,2020-07-09,25704,0-3
8047,2020-07-09,20783,0-3
8048,2020-07-09,29694,0-3
8049,2020-07-09,23561,0-3
8050,2020-07-09,28957,4-6
8051,2020-07-09,23000,0-3
8052,2020-07-09,20277,0-3
8053,2020-07-09,11001,0-3
8055,2020-07-09,20196,0-3
8057,2020-07-09,21221,0-3
8064,2020-07-09,3784,0-3
8102,2020-07-09,6717,0-3
8103,2020-07-09,3895,0-3
8104,2020-07-09,2675,0-3
8105,2020-07-09,13633,0-3
8106,2020-07-09,4807,0-3
8107,2020-07-09,6583,0-3
8108,2020-07-09,4174,0-3
8112,2020-07-09,2957,0-3
8113,2020-07-09,1435,0-3
8114,2020-07-09,1865,0-3
8115,2020-07-09,953,0-3
8117,2020-07-09,4564,0-3
8118,2020-07-09,2083,0-3
8121,2020-07-09,1999,0-3
8122,2020-07-09,2231,0-3
8123,2020-07-09,2771,0-3
8124,2020-07-09,2130,0-3
8125,2020-07-09,5209,0-3
8126,2020-07-09,5475,0-3
8127,2020-07-09,4094,0-3
8132,2020-07-09,6883,0-3
8133,2020-07-09,1915,0-3
8134,2020-07-09,18919,0-3
8135,2020-07-09,7781,0-3
8136,2020-07-09,2593,0-3
8142,2020-07-09,4661,0-3
8143,2020-07-09,3768,0-3
8152,2020-07-09,21091,4-6
8153,2020-07-09,8204,0-3
8154,2020-07-09,7205,0-3
8155,2020-07-09,7163,0-3
8156,2020-07-09,2152,0-3
8157,2020-07-09,5942,0-3
8158,2020-07-09,467,0-3
8162,2020-07-09,3608,0-3
8164,2020-07-09,601,0-3
8165,2020-07-09,3909,0-3
8166,2020-07-09,3076,0-3
8172,2020-07-09,4997,0-3
8173,2020-07-09,3153,0-3
8174,2020-07-09,1535,0-3
8175,2020-07-09,755,0-3
8180,2020-07-09,21389,4-6
8181,2020-07-09,2875,0-3
8182,2020-07-09,1979,0-3
8184,2020-07-09,4154,0-3
8185,2020-07-09,4536,0-3
8187,2020-07-09,1932,0-3
8192,2020-07-09,5207,0-3
8193,2020-07-09,5359,0-3
8194,2020-07-09,1051,0-3
8195,2020-07-09,560,0-3
8196,2020-07-09,1468,0-3
8197,2020-07-09,4659,0-3
8212,2020-07-09,146,0-3
8245,2020-07-09,2530,0-3
8246,2020-07-09,1088,0-3
8247,2020-07-09,1470,0-3
8248,2020-07-09,1575,0-3
8302,2020-07-09,20144,0-3
8303,2020-07-09,11826,0-3
8304,2020-07-09,16830,4-6
8305,2020-07-09,7849,4-6
8306,2020-07-09,5311,0-3
8307,2020-07-09,12268,0-3
8308,2020-07-09,4589,0-3
8309,2020-07-09,5611,0-3
8310,2020-07-09,1509,0-3
8311,2020-07-09,2061,0-3
8312,2020-07-09,954,0-3
8314,2020-07-09,349,0-3
8315,2020-07-09,817,0-3
8317,2020-07-09,2337,0-3
8320,2020-07-09,6443,0-3
8322,2020-07-09,994,0-3
8330,2020-07-09,11524,0-3
8331,2020-07-09,610,0-3
8332,2020-07-09,3384,0-3
8335,2020-07-09,3640,0-3
8340,2020-07-09,10306,0-3
8342,2020-07-09,933,0-3
8344,2020-07-09,3778,0-3
8345,2020-07-09,1131,0-3
8352,2020-07-09,3713,0-3
8353,2020-07-09,4374,0-3
8354,2020-07-09,500,0-3
8400,2020-07-09,39632,4-6
8403,2020-07-09,321,0-3
8404,2020-07-09,20278,0-3
8405,2020-07-09,18152,4-6
8406,2020-07-09,13621,0-3
8408,2020-07-09,16314,0-3
8409,2020-07-09,3194,0-3
8412,2020-07-09,983,0-3
8413,2020-07-09,4712,0-3
8414,2020-07-09,977,0-3
8415,2020-07-09,577,0-3
8416,2020-07-09,1423,0-3
8418,2020-07-09,772,0-3
8421,2020-07-09,777,0-3
8422,2020-07-09,3877,0-3
8424,2020-07-09,9396,0-3
8425,2020-07-09,1091,0-3
8426,2020-07-09,2414,0-3
8427,2020-07-09,4787,0-3
8428,2020-07-09,456,0-3
8442,2020-07-09,3141,0-3
8444,2020-07-09,2231,0-3
8447,2020-07-09,1931,0-3
8450,2020-07-09,2227,0-3
8451,2020-07-09,1417,0-3
8452,2020-07-09,699,0-3
8453,2020-07-09,282,0-3
8457,2020-07-09,485,0-3
8458,2020-07-09,657,0-3
8459,2020-07-09,376,0-3
8460,2020-07-09,1831,0-3
8461,2020-07-09,376,0-3
8462,2020-07-09,1309,0-3
8463,2020-07-09,850,0-3
8465,2020-07-09,389,0-3
8466,2020-07-09,674,0-3
8467,2020-07-09,458,0-3
8468,2020-07-09,649,0-3
8471,2020-07-09,1034,0-3
8472,2020-07-09,7417,0-3
8474,2020-07-09,1680,0-3
8475,2020-07-09,1661,0-3
8476,2020-07-09,1007,0-3
8477,2020-07-09,1122,0-3
8478,2020-07-09,936,0-3
8479,2020-07-09,697,0-3
8482,2020-07-09,1719,0-3
8483,2020-07-09,2967,0-3
8484,2020-07-09,3329,0-3
8486,2020-07-09,1899,0-3
8487,2020-07-09,1514,0-3
8488,2020-07-09,4549,0-3
8489,2020-07-09,980,0-3
8492,2020-07-09,2077,0-3
8493,2020-07-09,1628,0-3
8494,2020-07-09,2895,0-3
8495,2020-07-09,149,0-3
8496,2020-07-09,931,0-3
8497,2020-07-09,790,0-3
8498,2020-07-09,940,0-3
8499,2020-07-09,376,0-3
8523,2020-07-09,1084,0-3
8542,2020-07-09,5007,0-3
8543,2020-07-09,1096,0-3
8544,2020-07-09,406,0-3
8545,2020-07-09,2740,0-3
8548,2020-07-09,900,0-3
8600,2020-07-09,27178,0-3
8602,2020-07-09,2681,0-3
8603,2020-07-09,5170,0-3
8604,2020-07-09,16897,0-3
8605,2020-07-09,1731,0-3
8606,2020-07-09,8166,0-3
8607,2020-07-09,1458,0-3
8608,2020-07-09,3783,0-3
8610,2020-07-09,29607,0-3
8614,2020-07-09,1632,0-3
8615,2020-07-09,1371,0-3
8616,2020-07-09,790,0-3
8617,2020-07-09,3850,0-3
8618,2020-07-09,4825,0-3
8620,2020-07-09,16684,0-3
8623,2020-07-09,8249,0-3
8624,2020-07-09,2407,0-3
8625,2020-07-09,5270,0-3
8626,2020-07-09,1307,0-3
8627,2020-07-09,3621,0-3
8630,2020-07-09,12207,0-3
8632,2020-07-09,3905,0-3
8633,2020-07-09,3532,0-3
8634,2020-07-09,8260,0-3
8635,2020-07-09,3657,0-3
8636,2020-07-09,8096,0-3
8637,2020-07-09,1979,0-3
8700,2020-07-09,13733,0-3
8702,2020-07-09,7857,0-3
8703,2020-07-09,5593,0-3
8704,2020-07-09,6426,0-3
8706,2020-07-09,14245,4-6
8707,2020-07-09,6186,0-3
8708,2020-07-09,11322,4-6
8712,2020-07-09,11491,0-3
8713,2020-07-09,3177,0-3
8714,2020-07-09,475,0-3
8800,2020-07-09,15512,0-3
8802,2020-07-09,8931,0-3
8803,2020-07-09,6109,0-3
8804,2020-07-09,6073,0-3
8805,2020-07-09,10485,0-3
8810,2020-07-09,20446,4-6
8815,2020-07-09,346,0-3
8816,2020-07-09,2138,0-3
8820,2020-07-09,15751,0-3
8824,2020-07-09,1821,0-3
8825,2020-07-09,885,0-3
8833,2020-07-09,3120,0-3
8902,2020-07-09,10020,0-3
8903,2020-07-09,6722,0-3
8904,2020-07-09,1667,0-3
8906,2020-07-09,5555,0-3
8907,2020-07-09,5200,0-3
8908,2020-07-09,3769,0-3
8909,2020-07-09,1322,0-3
8910,2020-07-09,10967,0-3
8911,2020-07-09,1123,0-3
8912,2020-07-09,5689,0-3
8913,2020-07-09,2580,0-3
8914,2020-07-09,1976,0-3
8915,2020-07-09,2752,0-3
8925,2020-07-09,960,0-3
8926,2020-07-09,1221,0-3
8932,2020-07-09,5189,0-3
8933,2020-07-09,645,0-3
8934,2020-07-09,2377,0-3
8942,2020-07-09,4926,0-3
8951,2020-07-09,3068,0-3
8952,2020-07-09,18758,0-3
8953,2020-07-09,27635,4-6
8954,2020-07-09,3970,0-3
8955,2020-07-09,2505,0-3
PLZ_uebrige,2020-07-09,306,0-3
unbekannt,2020-07-09,,0-3
8001,2020-07-10,5473,0-3
8002,2020-07-10,9620,0-3
8003,2020-07-10,20655,0-3
8004,2020-07-10,27183,0-3
8005,2020-07-10,15505,0-3
8006,2020-07-10,18387,0-3
8008,2020-07-10,16571,0-3
8032,2020-07-10,18170,0-3
8037,2020-07-10,16044,0-3
8038,2020-07-10,17299,0-3
8041,2020-07-10,7620,0-3
8044,2020-07-10,10947,0-3
8045,2020-07-10,11222,0-3
8046,2020-07-10,25704,0-3
8047,2020-07-10,20783,0-3
8048,2020-07-10,29694,0-3
8049,2020-07-10,23561,0-3
8050,2020-07-10,28957,0-3
8051,2020-07-10,23000,0-3
8052,2020-07-10,20277,0-3
8053,2020-07-10,11001,0-3
8055,2020-07-10,20196,0-3
8057,2020-07-10,21221,0-3
8064,2020-07-10,3784,0-3
8102,2020-07-10,6717,0-3
8103,2020-07-10,3895,0-3
8104,2020-07-10,2675,0-3
8105,2020-07-10,13633,0-3
8106,2020-07-10,4807,0-3
8107,2020-07-10,6583,0-3
8108,2020-07-10,4174,0-3
8112,2020-07-10,2957,0-3
8113,2020-07-10,1435,0-3
8114,2020-07-10,1865,0-3
8115,2020-07-10,953,0-3
8117,2020-07-10,4564,0-3
8118,2020-07-10,2083,0-3
8121,2020-07-10,1999,0-3
8122,2020-07-10,2231,0-3
8123,2020-07-10,2771,0-3
8124,2020-07-10,2130,0-3
8125,2020-07-10,5209,0-3
8126,2020-07-10,5475,0-3
8127,2020-07-10,4094,0-3
8132,2020-07-10,6883,0-3
8133,2020-07-10,1915,0-3
8134,2020-07-10,18919,0-3
8135,2020-07-10,7781,0-3
8136,2020-07-10,2593,0-3
8142,2020-07-10,4661,0-3
8143,2020-07-10,3768,0-3
8152,2020-07-10,21091,4-6
8153,2020-07-10,8204,0-3
8154,2020-07-10,7205,0-3
8155,2020-07-10,7163,0-3
8156,2020-07-10,2152,0-3
8157,2020-07-10,5942,0-3
8158,2020-07-10,467,0-3
8162,2020-07-10,3608,0-3
8164,2020-07-10,601,0-3
8165,2020-07-10,3909,0-3
8166,2020-07-10,3076,0-3
8172,2020-07-10,4997,0-3
8173,2020-07-10,3153,0-3
8174,2020-07-10,1535,0-3
8175,2020-07-10,755,0-3
8180,2020-07-10,21389,10-12
8181,2020-07-10,2875,0-3
8182,2020-07-10,1979,0-3
8184,2020-07-10,4154,0-3
8185,2020-07-10,4536,0-3
8187,2020-07-10,1932,0-3
8192,2020-07-10,5207,0-3
8193,2020-07-10,5359,0-3
8194,2020-07-10,1051,0-3
8195,2020-07-10,560,0-3
8196,2020-07-10,1468,0-3
8197,2020-07-10,4659,0-3
8212,2020-07-10,146,0-3
8245,2020-07-10,2530,0-3
8246,2020-07-10,1088,0-3
8247,2020-07-10,1470,0-3
8248,2020-07-10,1575,0-3
8302,2020-07-10,20144,0-3
8303,2020-07-10,11826,0-3
8304,2020-07-10,16830,4-6
8305,2020-07-10,7849,0-3
8306,2020-07-10,5311,0-3
8307,2020-07-10,12268,0-3
8308,2020-07-10,4589,0-3
8309,2020-07-10,5611,0-3
8310,2020-07-10,1509,0-3
8311,2020-07-10,2061,0-3
8312,2020-07-10,954,0-3
8314,2020-07-10,349,0-3
8315,2020-07-10,817,0-3
8317,2020-07-10,2337,0-3
8320,2020-07-10,6443,0-3
8322,2020-07-10,994,0-3
8330,2020-07-10,11524,0-3
8331,2020-07-10,610,0-3
8332,2020-07-10,3384,0-3
8335,2020-07-10,3640,0-3
8340,2020-07-10,10306,0-3
8342,2020-07-10,933,0-3
8344,2020-07-10,3778,0-3
8345,2020-07-10,1131,0-3
8352,2020-07-10,3713,0-3
8353,2020-07-10,4374,0-3
8354,2020-07-10,500,0-3
8400,2020-07-10,39632,4-6
8403,2020-07-10,321,0-3
8404,2020-07-10,20278,0-3
8405,2020-07-10,18152,4-6
8406,2020-07-10,13621,0-3
8408,2020-07-10,16314,0-3
8409,2020-07-10,3194,0-3
8412,2020-07-10,983,0-3
8413,2020-07-10,4712,0-3
8414,2020-07-10,977,0-3
8415,2020-07-10,577,0-3
8416,2020-07-10,1423,0-3
8418,2020-07-10,772,0-3
8421,2020-07-10,777,0-3
8422,2020-07-10,3877,0-3
8424,2020-07-10,9396,0-3
8425,2020-07-10,1091,0-3
8426,2020-07-10,2414,0-3
8427,2020-07-10,4787,0-3
8428,2020-07-10,456,0-3
8442,2020-07-10,3141,0-3
8444,2020-07-10,2231,0-3
8447,2020-07-10,1931,0-3
8450,2020-07-10,2227,0-3
8451,2020-07-10,1417,0-3
8452,2020-07-10,699,0-3
8453,2020-07-10,282,0-3
8457,2020-07-10,485,0-3
8458,2020-07-10,657,0-3
8459,2020-07-10,376,0-3
8460,2020-07-10,1831,0-3
8461,2020-07-10,376,0-3
8462,2020-07-10,1309,0-3
8463,2020-07-10,850,0-3
8465,2020-07-10,389,0-3
8466,2020-07-10,674,0-3
8467,2020-07-10,458,0-3
8468,2020-07-10,649,0-3
8471,2020-07-10,1034,0-3
8472,2020-07-10,7417,0-3
8474,2020-07-10,1680,0-3
8475,2020-07-10,1661,0-3
8476,2020-07-10,1007,0-3
8477,2020-07-10,1122,0-3
8478,2020-07-10,936,0-3
8479,2020-07-10,697,0-3
8482,2020-07-10,1719,0-3
8483,2020-07-10,2967,0-3
8484,2020-07-10,3329,0-3
8486,2020-07-10,1899,0-3
8487,2020-07-10,1514,0-3
8488,2020-07-10,4549,0-3
8489,2020-07-10,980,0-3
8492,2020-07-10,2077,0-3
8493,2020-07-10,1628,0-3
8494,2020-07-10,2895,0-3
8495,2020-07-10,149,0-3
8496,2020-07-10,931,0-3
8497,2020-07-10,790,0-3
8498,2020-07-10,940,0-3
8499,2020-07-10,376,0-3
8523,2020-07-10,1084,0-3
8542,2020-07-10,5007,0-3
8543,2020-07-10,1096,0-3
8544,2020-07-10,406,0-3
8545,2020-07-10,2740,0-3
8548,2020-07-10,900,0-3
8600,2020-07-10,27178,0-3
8602,2020-07-10,2681,0-3
8603,2020-07-10,5170,0-3
8604,2020-07-10,16897,0-3
8605,2020-07-10,1731,0-3
8606,2020-07-10,8166,0-3
8607,2020-07-10,1458,0-3
8608,2020-07-10,3783,0-3
8610,2020-07-10,29607,0-3
8614,2020-07-10,1632,0-3
8615,2020-07-10,1371,0-3
8616,2020-07-10,790,0-3
8617,2020-07-10,3850,0-3
8618,2020-07-10,4825,4-6
8620,2020-07-10,16684,0-3
8623,2020-07-10,8249,0-3
8624,2020-07-10,2407,0-3
8625,2020-07-10,5270,0-3
8626,2020-07-10,1307,0-3
8627,2020-07-10,3621,0-3
8630,2020-07-10,12207,0-3
8632,2020-07-10,3905,0-3
8633,2020-07-10,3532,0-3
8634,2020-07-10,8260,0-3
8635,2020-07-10,3657,0-3
8636,2020-07-10,8096,0-3
8637,2020-07-10,1979,0-3
8700,2020-07-10,13733,0-3
8702,2020-07-10,7857,0-3
8703,2020-07-10,5593,0-3
8704,2020-07-10,6426,0-3
8706,2020-07-10,14245,0-3
8707,2020-07-10,6186,0-3
8708,2020-07-10,11322,4-6
8712,2020-07-10,11491,0-3
8713,2020-07-10,3177,0-3
8714,2020-07-10,475,0-3
8800,2020-07-10,15512,0-3
8802,2020-07-10,8931,0-3
8803,2020-07-10,6109,0-3
8804,2020-07-10,6073,0-3
8805,2020-07-10,10485,0-3
8810,2020-07-10,20446,4-6
8815,2020-07-10,346,0-3
8816,2020-07-10,2138,0-3
8820,2020-07-10,15751,0-3
8824,2020-07-10,1821,0-3
8825,2020-07-10,885,0-3
8833,2020-07-10,3120,0-3
8902,2020-07-10,10020,0-3
8903,2020-07-10,6722,0-3
8904,2020-07-10,1667,0-3
8906,2020-07-10,5555,0-3
8907,2020-07-10,5200,0-3
8908,2020-07-10,3769,0-3
8909,2020-07-10,1322,0-3
8910,2020-07-10,10967,0-3
8911,2020-07-10,1123,0-3
8912,2020-07-10,5689,0-3
8913,2020-07-10,2580,0-3
8914,2020-07-10,1976,0-3
8915,2020-07-10,2752,0-3
8925,2020-07-10,960,0-3
8926,2020-07-10,1221,0-3
8932,2020-07-10,5189,0-3
8933,2020-07-10,645,0-3
8934,2020-07-10,2377,0-3
8942,2020-07-10,4926,0-3
8951,2020-07-10,3068,0-3
8952,2020-07-10,18758,0-3
8953,2020-07-10,27635,0-3
8954,2020-07-10,3970,0-3
8955,2020-07-10,2505,0-3
PLZ_uebrige,2020-07-10,306,0-3
unbekannt,2020-07-10,,0-3
8001,2020-07-11,5473,0-3
8002,2020-07-11,9620,0-3
8003,2020-07-11,20655,0-3
8004,2020-07-11,27183,4-6
8005,2020-07-11,15505,0-3
8006,2020-07-11,18387,0-3
8008,2020-07-11,16571,0-3
8032,2020-07-11,18170,0-3
8037,2020-07-11,16044,0-3
8038,2020-07-11,17299,0-3
8041,2020-07-11,7620,0-3
8044,2020-07-11,10947,0-3
8045,2020-07-11,11222,0-3
8046,2020-07-11,25704,0-3
8047,2020-07-11,20783,0-3
8048,2020-07-11,29694,0-3
8049,2020-07-11,23561,0-3
8050,2020-07-11,28957,0-3
8051,2020-07-11,23000,0-3
8052,2020-07-11,20277,0-3
8053,2020-07-11,11001,0-3
8055,2020-07-11,20196,0-3
8057,2020-07-11,21221,0-3
8064,2020-07-11,3784,0-3
8102,2020-07-11,6717,0-3
8103,2020-07-11,3895,0-3
8104,2020-07-11,2675,0-3
8105,2020-07-11,13633,0-3
8106,2020-07-11,4807,0-3
8107,2020-07-11,6583,0-3
8108,2020-07-11,4174,0-3
8112,2020-07-11,2957,0-3
8113,2020-07-11,1435,0-3
8114,2020-07-11,1865,0-3
8115,2020-07-11,953,0-3
8117,2020-07-11,4564,0-3
8118,2020-07-11,2083,0-3
8121,2020-07-11,1999,0-3
8122,2020-07-11,2231,0-3
8123,2020-07-11,2771,0-3
8124,2020-07-11,2130,0-3
8125,2020-07-11,5209,0-3
8126,2020-07-11,5475,0-3
8127,2020-07-11,4094,0-3
8132,2020-07-11,6883,0-3
8133,2020-07-11,1915,0-3
8134,2020-07-11,18919,0-3
8135,2020-07-11,7781,0-3
8136,2020-07-11,2593,0-3
8142,2020-07-11,4661,0-3
8143,2020-07-11,3768,0-3
8152,2020-07-11,21091,4-6
8153,2020-07-11,8204,0-3
8154,2020-07-11,7205,0-3
8155,2020-07-11,7163,0-3
8156,2020-07-11,2152,0-3
8157,2020-07-11,5942,0-3
8158,2020-07-11,467,0-3
8162,2020-07-11,3608,0-3
8164,2020-07-11,601,0-3
8165,2020-07-11,3909,0-3
8166,2020-07-11,3076,0-3
8172,2020-07-11,4997,0-3
8173,2020-07-11,3153,0-3
8174,2020-07-11,1535,0-3
8175,2020-07-11,755,0-3
8180,2020-07-11,21389,10-12
8181,2020-07-11,2875,0-3
8182,2020-07-11,1979,0-3
8184,2020-07-11,4154,0-3
8185,2020-07-11,4536,0-3
8187,2020-07-11,1932,0-3
8192,2020-07-11,5207,0-3
8193,2020-07-11,5359,0-3
8194,2020-07-11,1051,0-3
8195,2020-07-11,560,0-3
8196,2020-07-11,1468,0-3
8197,2020-07-11,4659,0-3
8212,2020-07-11,146,0-3
8245,2020-07-11,2530,0-3
8246,2020-07-11,1088,0-3
8247,2020-07-11,1470,0-3
8248,2020-07-11,1575,0-3
8302,2020-07-11,20144,0-3
8303,2020-07-11,11826,0-3
8304,2020-07-11,16830,4-6
8305,2020-07-11,7849,4-6
8306,2020-07-11,5311,0-3
8307,2020-07-11,12268,0-3
8308,2020-07-11,4589,0-3
8309,2020-07-11,5611,0-3
8310,2020-07-11,1509,0-3
8311,2020-07-11,2061,0-3
8312,2020-07-11,954,0-3
8314,2020-07-11,349,0-3
8315,2020-07-11,817,0-3
8317,2020-07-11,2337,0-3
8320,2020-07-11,6443,0-3
8322,2020-07-11,994,0-3
8330,2020-07-11,11524,0-3
8331,2020-07-11,610,0-3
8332,2020-07-11,3384,0-3
8335,2020-07-11,3640,0-3
8340,2020-07-11,10306,0-3
8342,2020-07-11,933,0-3
8344,2020-07-11,3778,0-3
8345,2020-07-11,1131,0-3
8352,2020-07-11,3713,0-3
8353,2020-07-11,4374,0-3
8354,2020-07-11,500,0-3
8400,2020-07-11,39632,4-6
8403,2020-07-11,321,0-3
8404,2020-07-11,20278,0-3
8405,2020-07-11,18152,4-6
8406,2020-07-11,13621,0-3
8408,2020-07-11,16314,0-3
8409,2020-07-11,3194,0-3
8412,2020-07-11,983,0-3
8413,2020-07-11,4712,0-3
8414,2020-07-11,977,0-3
8415,2020-07-11,577,0-3
8416,2020-07-11,1423,0-3
8418,2020-07-11,772,0-3
8421,2020-07-11,777,0-3
8422,2020-07-11,3877,0-3
8424,2020-07-11,9396,0-3
8425,2020-07-11,1091,0-3
8426,2020-07-11,2414,0-3
8427,2020-07-11,4787,0-3
8428,2020-07-11,456,0-3
8442,2020-07-11,3141,0-3
8444,2020-07-11,2231,0-3
8447,2020-07-11,1931,0-3
8450,2020-07-11,2227,0-3
8451,2020-07-11,1417,0-3
8452,2020-07-11,699,0-3
8453,2020-07-11,282,0-3
8457,2020-07-11,485,0-3
8458,2020-07-11,657,0-3
8459,2020-07-11,376,0-3
8460,2020-07-11,1831,0-3
8461,2020-07-11,376,0-3
8462,2020-07-11,1309,0-3
8463,2020-07-11,850,0-3
8465,2020-07-11,389,0-3
8466,2020-07-11,674,0-3
8467,2020-07-11,458,0-3
8468,2020-07-11,649,0-3
8471,2020-07-11,1034,0-3
8472,2020-07-11,7417,0-3
8474,2020-07-11,1680,0-3
8475,2020-07-11,1661,0-3
8476,2020-07-11,1007,0-3
8477,2020-07-11,1122,0-3
8478,2020-07-11,936,0-3
8479,2020-07-11,697,0-3
8482,2020-07-11,1719,0-3
8483,2020-07-11,2967,0-3
8484,2020-07-11,3329,0-3
8486,2020-07-11,1899,0-3
8487,2020-07-11,1514,0-3
8488,2020-07-11,4549,0-3
8489,2020-07-11,980,0-3
8492,2020-07-11,2077,0-3
8493,2020-07-11,1628,0-3
8494,2020-07-11,2895,0-3
8495,2020-07-11,149,0-3
8496,2020-07-11,931,0-3
8497,2020-07-11,790,0-3
8498,2020-07-11,940,0-3
8499,2020-07-11,376,0-3
8523,2020-07-11,1084,0-3
8542,2020-07-11,5007,0-3
8543,2020-07-11,1096,0-3
8544,2020-07-11,406,0-3
8545,2020-07-11,2740,0-3
8548,2020-07-11,900,0-3
8600,2020-07-11,27178,0-3
8602,2020-07-11,2681,0-3
8603,2020-07-11,5170,0-3
8604,2020-07-11,16897,0-3
8605,2020-07-11,1731,0-3
8606,2020-07-11,8166,0-3
8607,2020-07-11,1458,0-3
8608,2020-07-11,3783,0-3
8610,2020-07-11,29607,0-3
8614,2020-07-11,1632,0-3
8615,2020-07-11,1371,0-3
8616,2020-07-11,790,0-3
8617,2020-07-11,3850,0-3
8618,2020-07-11,4825,0-3
8620,2020-07-11,16684,0-3
8623,2020-07-11,8249,0-3
8624,2020-07-11,2407,0-3
8625,2020-07-11,5270,0-3
8626,2020-07-11,1307,0-3
8627,2020-07-11,3621,0-3
8630,2020-07-11,12207,0-3
8632,2020-07-11,3905,0-3
8633,2020-07-11,3532,0-3
8634,2020-07-11,8260,0-3
8635,2020-07-11,3657,0-3
8636,2020-07-11,8096,0-3
8637,2020-07-11,1979,0-3
8700,2020-07-11,13733,0-3
8702,2020-07-11,7857,0-3
8703,2020-07-11,5593,0-3
8704,2020-07-11,6426,0-3
8706,2020-07-11,14245,0-3
8707,2020-07-11,6186,0-3
8708,2020-07-11,11322,4-6
8712,2020-07-11,11491,0-3
8713,2020-07-11,3177,0-3
8714,2020-07-11,475,0-3
8800,2020-07-11,15512,0-3
8802,2020-07-11,8931,0-3
8803,2020-07-11,6109,0-3
8804,2020-07-11,6073,0-3
8805,2020-07-11,10485,0-3
8810,2020-07-11,20446,4-6
8815,2020-07-11,346,0-3
8816,2020-07-11,2138,0-3
8820,2020-07-11,15751,0-3
8824,2020-07-11,1821,0-3
8825,2020-07-11,885,0-3
8833,2020-07-11,3120,0-3
8902,2020-07-11,10020,0-3
8903,2020-07-11,6722,0-3
8904,2020-07-11,1667,0-3
8906,2020-07-11,5555,0-3
8907,2020-07-11,5200,0-3
8908,2020-07-11,3769,0-3
8909,2020-07-11,1322,0-3
8910,2020-07-11,10967,0-3
8911,2020-07-11,1123,0-3
8912,2020-07-11,5689,0-3
8913,2020-07-11,2580,0-3
8914,2020-07-11,1976,0-3
8915,2020-07-11,2752,0-3
8925,2020-07-11,960,0-3
8926,2020-07-11,1221,0-3
8932,2020-07-11,5189,0-3
8933,2020-07-11,645,0-3
8934,2020-07-11,2377,0-3
8942,2020-07-11,4926,0-3
8951,2020-07-11,3068,0-3
8952,2020-07-11,18758,0-3
8953,2020-07-11,27635,0-3
8954,2020-07-11,3970,0-3
8955,2020-07-11,2505,0-3
PLZ_uebrige,2020-07-11,306,0-3
unbekannt,2020-07-11,,0-3
8001,2020-07-12,5473,0-3
8002,2020-07-12,9620,0-3
8003,2020-07-12,20655,0-3
8004,2020-07-12,27183,4-6
8005,2020-07-12,15505,0-3
8006,2020-07-12,18387,0-3
8008,2020-07-12,16571,0-3
8032,2020-07-12,18170,0-3
8037,2020-07-12,16044,0-3
8038,2020-07-12,17299,4-6
8041,2020-07-12,7620,0-3
8044,2020-07-12,10947,0-3
8045,2020-07-12,11222,0-3
8046,2020-07-12,25704,0-3
8047,2020-07-12,20783,0-3
8048,2020-07-12,29694,0-3
8049,2020-07-12,23561,0-3
8050,2020-07-12,28957,0-3
8051,2020-07-12,23000,0-3
8052,2020-07-12,20277,0-3
8053,2020-07-12,11001,0-3
8055,2020-07-12,20196,0-3
8057,2020-07-12,21221,0-3
8064,2020-07-12,3784,0-3
8102,2020-07-12,6717,0-3
8103,2020-07-12,3895,0-3
8104,2020-07-12,2675,0-3
8105,2020-07-12,13633,0-3
8106,2020-07-12,4807,0-3
8107,2020-07-12,6583,0-3
8108,2020-07-12,4174,0-3
8112,2020-07-12,2957,0-3
8113,2020-07-12,1435,0-3
8114,2020-07-12,1865,0-3
8115,2020-07-12,953,0-3
8117,2020-07-12,4564,0-3
8118,2020-07-12,2083,0-3
8121,2020-07-12,1999,0-3
8122,2020-07-12,2231,0-3
8123,2020-07-12,2771,0-3
8124,2020-07-12,2130,0-3
8125,2020-07-12,5209,0-3
8126,2020-07-12,5475,0-3
8127,2020-07-12,4094,0-3
8132,2020-07-12,6883,0-3
8133,2020-07-12,1915,0-3
8134,2020-07-12,18919,0-3
8135,2020-07-12,7781,0-3
8136,2020-07-12,2593,0-3
8142,2020-07-12,4661,0-3
8143,2020-07-12,3768,0-3
8152,2020-07-12,21091,4-6
8153,2020-07-12,8204,0-3
8154,2020-07-12,7205,0-3
8155,2020-07-12,7163,0-3
8156,2020-07-12,2152,0-3
8157,2020-07-12,5942,0-3
8158,2020-07-12,467,0-3
8162,2020-07-12,3608,0-3
8164,2020-07-12,601,0-3
8165,2020-07-12,3909,0-3
8166,2020-07-12,3076,0-3
8172,2020-07-12,4997,0-3
8173,2020-07-12,3153,0-3
8174,2020-07-12,1535,0-3
8175,2020-07-12,755,0-3
8180,2020-07-12,21389,10-12
8181,2020-07-12,2875,0-3
8182,2020-07-12,1979,0-3
8184,2020-07-12,4154,0-3
8185,2020-07-12,4536,0-3
8187,2020-07-12,1932,0-3
8192,2020-07-12,5207,0-3
