"Kalenderwoche","Einreiseland","Anzahl_Einreisende","woche_von","woche_bis"
45,"Frankreich",30,"2020-07-13","2020-07-19"
45,"Tschechien",13,"2020-07-13","2020-07-19"
46,"andere",7,"2020-07-13","2020-07-19"
46,"Frankreich",12,"2020-07-13","2020-07-19"
46,"Tschechien",16,"2020-07-13","2020-07-19"
47,"andere",21,"2020-07-13","2020-07-19"
48,"andere",19,"2020-07-13","2020-07-19"
48,"Montenegro",13,"2020-07-13","2020-07-19"
49,"andere",33,"2020-07-13","2020-07-19"
50,"andere",26,"2020-07-13","2020-07-19"
50,"Tschechien",11,"2020-07-13","2020-07-19"
51,"andere",214,"2020-07-13","2020-07-19"
51,"Italien",14,"2020-07-13","2020-07-19"
51,"Kroatien",18,"2020-07-13","2020-07-19"
51,"Portugal",24,"2020-07-13","2020-07-19"
51,"Serbien",40,"2020-07-13","2020-07-19"
51,"USA",36,"2020-07-13","2020-07-19"
52,"andere",394,"2020-07-13","2020-07-19"
53,"andere",894,"2020-07-13","2020-07-19"
